"Latitude","Longitude","NRNAME","Protocol","WetlandType","WSite","Site","Year","Species","PA"
59.943127,-110.282402,"Canadian Shield","Terrestrial","Bog","1","1",2016,"Linnaea borealis",1
54.292706,-117.846184,"Foothills","Terrestrial","Poor Fen","1002","1002",2011,"Equisetum sylvaticum",1
54.266102,-117.516617,"Foothills","Terrestrial","Bog","1003","1003",2011,"Equisetum sylvaticum",1
54.149139,-115.990967,"Foothills","Terrestrial","Bog","1008","1008",2008,"Equisetum scirpoides",1
53.872318,-112.986923,"Boreal","Terrestrial","Bog","1018","1018",2011,"Equisetum arvense",1
53.67614,-111.788589,"Boreal","Terrestrial","Wet Meadow","1022","1022",2015,"Brassica napus",1
53.671288,-111.449608,"Boreal","Terrestrial","Marsh","1023","1023",2015,"Symphoricarpos occidentalis",1
53.639076,-111.22509,"Boreal","Terrestrial","Wet Meadow","1024","1024",2015,"Petasites frigidus",1
54.078339,-117.846275,"Foothills","Terrestrial","Bog","1036","1036",2010,"Parnassia palustris",1
53.880966,-117.342422,"Foothills","Terrestrial","Poor Fen","1071","1071",2011,"Symphoricarpos albus",1
53.71125,-114.873329,"Boreal","Terrestrial","Bog","1079","1079",2013,"Drosera rotundifolia",1
53.485844,-113.120331,"Boreal","Terrestrial","Marsh","1085","1085",2008,"Equisetum arvense",1
53.237061,-111.039818,"Parkland","Terrestrial","Marsh","1092","1092",2011,"Plantago major",1
53.154987,-110.481522,"Parkland","Terrestrial","Marsh","1094","1094",2011,"Lepidium densiflorum",1
53.660904,-117.074203,"Foothills","Terrestrial","Poor Fen","1105","1105",2011,"Equisetum fluviatile",1
53.671753,-116.723145,"Foothills","Terrestrial","Bog","1106","1106",2011,"Equisetum fluviatile",1
59.304123,-114.945435,"Boreal","Terrestrial","Bog","111","111",2013,"Linnaea borealis",1
53.515854,-115.19281,"Boreal","Terrestrial","Poor Fen","1111","1111",2013,"Lycopodium annotinum",1
59.279404,-114.582375,"Boreal","Terrestrial","Bog","112","112",2013,"Equisetum scirpoides",1
53.075481,-111.074829,"Parkland","Terrestrial","Marsh","1125","1125",2011,"Brassica napus",1
59.245296,-114.18441,"Boreal","Terrestrial","Bog","113","113",2013,"Equisetum sylvaticum",1
53.514519,-117.017067,"Foothills","Terrestrial","Poor Fen","1137","1137",2011,"Equisetum fluviatile",1
53.34864,-115.351357,"Boreal","Terrestrial","Poor Fen","1143","1143",2013,"Equisetum hyemale",1
53.137333,-113.142067,"Parkland","Terrestrial","Marsh","1150","1150",2015,"Polygonum aviculare",1
52.911358,-111.092903,"Parkland","Terrestrial","Marsh","1157","1157",2011,"Descurainia sophia",1
53.344151,-117.076775,"Foothills","Terrestrial","Poor Fen","1170","1170",2010,"Equisetum arvense",1
53.281467,-116.769356,"Foothills","Terrestrial","Poor Fen","1171","1171",2010,"Equisetum scirpoides",1
