"Latitude","Longitude","NRNAME","Protocol","WetlandType","WSite","Site","Year","HFCategory","Area_percent"
53.872318,-112.986923,"Boreal","Terrestrial","Bog","1018","1018",2011,"Agriculture",44.2167448719801
53.71125,-114.873329,"Boreal","Terrestrial","Bog","1079","1079",2013,"Agriculture",0.293951128017039
59.304123,-114.945435,"Boreal","Terrestrial","Bog","111","111",2013,"Agriculture",0
59.279404,-114.582375,"Boreal","Terrestrial","Bog","112","112",2013,"Agriculture",0
59.245296,-114.18441,"Boreal","Terrestrial","Bog","113","113",2013,"Agriculture",0
53.104702,-114.714417,"Boreal","Terrestrial","Bog","1178","1178",2013,"Agriculture",94.8138192610842
53.104702,-114.714417,"Boreal","Terrestrial","Bog","1178","1178",2014,"Agriculture",94.8138192610842
59.447678,-119.101288,"Boreal","Terrestrial","Bog","128","128",2014,"Agriculture",0
59.869965,-112.579437,"Boreal","Terrestrial","Bog","13","13",2009,"Agriculture",0
59.869965,-112.579437,"Boreal","Terrestrial","Bog","13","13",2016,"Agriculture",0
59.796967,-112.230896,"Boreal","Terrestrial","Bog","14","14",2009,"Agriculture",0
59.796967,-112.230896,"Boreal","Terrestrial","Bog","14","14",2016,"Agriculture",0
59.255928,-119.221596,"Boreal","Terrestrial","Bog","157","157",2014,"Agriculture",0
59.227409,-118.438774,"Boreal","Terrestrial","Bog","159","159",2014,"Agriculture",0
59.105827,-117.153389,"Boreal","Terrestrial","Bog","163","163",2012,"Agriculture",0
59.125423,-116.707664,"Boreal","Terrestrial","Bog","164","164",2012,"Agriculture",0
59.085716,-116.429916,"Boreal","Terrestrial","Bog","165","165",2012,"Agriculture",0
58.5611,-110.643715,"Boreal","Terrestrial","Bog","182","182",2012,"Agriculture",0
58.5611,-110.643715,"Boreal","Terrestrial","Bog","182","182",2013,"Agriculture",0
59.08355,-119.146049,"Boreal","Terrestrial","Bog","186","186",2014,"Agriculture",0
58.978397,-117.153389,"Boreal","Terrestrial","Bog","192","192",2012,"Agriculture",0
58.878773,-116.427071,"Boreal","Terrestrial","Bog","194","194",2013,"Agriculture",0
58.3046,-110.380775,"Boreal","Terrestrial","Bog","212","212",2012,"Agriculture",0
58.3046,-110.380775,"Boreal","Terrestrial","Bog","212","212",2013,"Agriculture",0
58.28754,-110.057426,"Boreal","Terrestrial","Bog","213","213",2013,"Agriculture",0
58.868587,-119.264351,"Boreal","Terrestrial","Bog","216","216",2007,"Agriculture",0
58.699387,-116.201263,"Boreal","Terrestrial","Bog","225","225",2014,"Agriculture",0
58.374332,-112.436066,"Boreal","Terrestrial","Bog","236","236",2016,"Agriculture",0
58.276688,-111.740158,"Boreal","Terrestrial","Bog","238","238",2013,"Agriculture",0
58.639572,-118.591812,"Boreal","Terrestrial","Bog","248","248",2007,"Agriculture",0
58.205688,-112.512741,"Boreal","Terrestrial","Bog","266","266",2016,"Agriculture",0
58.522884,-118.900536,"Boreal","Terrestrial","Bog","277","277",2007,"Agriculture",0
57.974468,-111.857712,"Boreal","Terrestrial","Bog","298","298",2013,"Agriculture",0
57.931255,-113.273994,"Boreal","Terrestrial","Bog","323","323",2010,"Agriculture",0
57.931255,-113.273994,"Boreal","Terrestrial","Bog","323","323",2016,"Agriculture",0
57.876133,-113.004417,"Boreal","Terrestrial","Bog","324","324",2010,"Agriculture",0
57.876133,-113.004417,"Boreal","Terrestrial","Bog","324","324",2016,"Agriculture",0
57.861206,-112.580597,"Boreal","Terrestrial","Bog","325","325",2010,"Agriculture",0
57.861206,-112.580597,"Boreal","Terrestrial","Bog","325","325",2016,"Agriculture",0
57.810936,-112.311165,"Boreal","Terrestrial","Bog","326","326",2014,"Agriculture",0
57.788807,-111.969208,"Boreal","Terrestrial","Bog","327","327",2014,"Agriculture",0
57.578438,-110.360809,"Boreal","Terrestrial","Bog","332","332",2011,"Agriculture",0
57.578438,-110.360809,"Boreal","Terrestrial","Bog","332","332",2013,"Agriculture",0
57.685524,-112.631378,"Boreal","Terrestrial","Bog","354","354",2010,"Agriculture",0
57.685524,-112.631378,"Boreal","Terrestrial","Bog","354","354",2016,"Agriculture",0
57.375259,-110.357719,"Boreal","Terrestrial","Bog","361","361",2011,"Agriculture",0
57.375259,-110.357719,"Boreal","Terrestrial","Bog","361","361",2013,"Agriculture",0
57.372757,-111.760498,"Boreal","Terrestrial","Bog","387","387",2014,"Agriculture",0
57.268986,-110.721565,"Boreal","Terrestrial","Bog","390","390",2007,"Agriculture",0
57.268986,-110.721565,"Boreal","Terrestrial","Bog","390","390",2015,"Agriculture",0
57.260525,-110.455292,"Boreal","Terrestrial","Bog","391","391",2011,"Agriculture",0
57.260525,-110.455292,"Boreal","Terrestrial","Bog","391","391",2013,"Agriculture",0
57.508667,-115.175079,"Boreal","Terrestrial","Bog","407","407",2013,"Agriculture",0
57.492027,-114.845024,"Boreal","Terrestrial","Bog","408","408",2013,"Agriculture",0
59.946846,-119.345093,"Boreal","Terrestrial","Bog","41","41",2014,"Agriculture",0
57.38126,-113.492157,"Boreal","Terrestrial","Bog","412","412",2008,"Agriculture",0
57.38126,-113.492157,"Boreal","Terrestrial","Bog","412","412",2015,"Agriculture",0
57.294983,-112.846794,"Boreal","Terrestrial","Bog","414","414",2008,"Agriculture",0
57.294983,-112.846794,"Boreal","Terrestrial","Bog","414","414",2015,"Agriculture",0
57.246872,-112.510162,"Boreal","Terrestrial","Bog","415","415",2011,"Agriculture",0
57.246872,-112.510162,"Boreal","Terrestrial","Bog","415","415",2013,"Agriculture",0
57.150703,-111.222115,"Boreal","Terrestrial","Bog","419","419",2013,"Agriculture",0
57.12814,-110.874931,"Boreal","Terrestrial","Bog","420","420",2013,"Agriculture",0
57.056065,-110.574104,"Boreal","Terrestrial","Bog","421","421",2012,"Agriculture",0
57.056065,-110.574104,"Boreal","Terrestrial","Bog","421","421",2013,"Agriculture",0
57.572441,-118.473648,"Boreal","Terrestrial","Bog","427","427",2012,"Agriculture",0
57.338673,-115.147408,"Boreal","Terrestrial","Bog","437","437",2013,"Agriculture",0
57.335743,-114.848801,"Boreal","Terrestrial","Bog","438","438",2013,"Agriculture",0
