SPECIES;ORIGIN;TYPE
Abies balsamea;Native;GNAME
Abies bifolia;Native;GNAME
Acer negundo;Native;GNAME
Achillea millefolium;Native;GNAME
Acorus americanus;Native;GNAME
Actaea rubra;Native;GNAME
Adoxa moschatellina;Native;GNAME
Agastache foeniculum;Native;GNAME
Agoseris glauca;Native;GNAME
Agrimonia striata;Native;GNAME
Agropyron cristatum;Exotic;GNAME
Agropyron fragile;Exotic;GNAME
Agrostis exarata;Native;GNAME
Agrostis scabra;Native;GNAME
Agrostis stolonifera;Exotic;GNAME
Alisma gramineum;Native;GNAME
Alisma triviale;Native;GNAME
Allium cernuum;Native;GNAME
Allium schoenoprasum;Native;GNAME
Allium textile;Native;GNAME
Alnus incana;Native;GNAME
Alnus viridis;Native;GNAME
Alopecurus aequalis;Native;GNAME
Alopecurus arundinaceus;Exotic;GNAME
Alopecurus geniculatus;Exotic;GNAME
Alopecurus pratensis;Exotic;GNAME
Alyssum alyssoides;Exotic;GNAME
Amaranthus albus;Exotic;GNAME
Amaranthus blitoides;Unknown/Undetermined;GNAME
Amaranthus retroflexus;Exotic;GNAME
Ambrosia artemisiifolia;Native;GNAME
Amelanchier alnifolia;Native;GNAME
Anaphalis margaritacea;Native;GNAME
Andromeda polifolia;Native;GNAME
Androsace occidentalis;Native;GNAME
Androsace septentrionalis;Native;GNAME
Anemone canadensis;Native;GNAME
Anemone cylindrica;Native;GNAME
Anemone multifida;Native;GNAME
Anemone parviflora;Native;GNAME
Anemone quinquefolia;Native;GNAME
Anemone richardsonii;Native;GNAME
Anemone virginiana;Native;GNAME
Antennaria alpina;Native;GNAME
Antennaria microphylla;Native;GNAME
Antennaria neglecta;Native;GNAME
Antennaria parvifolia;Native;GNAME
Antennaria pulcherrima;Native;GNAME
Antennaria rosea;Native;GNAME
Apocynum androsaemifolium;Native;GNAME
Aquilegia brevistyla;Native;GNAME
Arabidopsis lyrata;Native;GNAME
Aralia nudicaulis;Native;GNAME
Arceuthobium americanum;Native;GNAME
Arctagrostis latifolia;Native;GNAME
Arctium minus;Exotic;GNAME
Arctostaphylos uva-ursi;Native;GNAME
Arnica chamissonis;Native;GNAME
Arnica cordifolia;Native;GNAME
Arnica fulgens;Native;GNAME
Arnica latifolia;Native;GNAME
Arnica lonchophylla;Native;GNAME
Arnica sororia;Native;GNAME
Artemisia absinthium;Exotic;GNAME
Artemisia biennis;Native;GNAME
Artemisia campestris;Native;GNAME
Artemisia cana;Native;GNAME
Artemisia frigida;Native;GNAME
Artemisia ludoviciana;Native;GNAME
Artemisia norvegica;Native;GNAME
Aruncus dioicus;Native;GNAME
Asclepias speciosa;Native;GNAME
Asparagus officinalis;Exotic;GNAME
Astragalus agrestis;Native;GNAME
Astragalus alpinus;Native;GNAME
Astragalus americanus;Native;GNAME
Astragalus bisulcatus;Native;GNAME
Astragalus canadensis;Native;GNAME
Astragalus cicer;Exotic;GNAME
Astragalus crassicarpus;Native;GNAME
Astragalus drummondii;Native;GNAME
Astragalus eucosmus;Native;GNAME
Astragalus flexuosus;Native;GNAME
Astragalus miser;Native;GNAME
Astragalus pectinatus;Native;GNAME
Athyrium filix-femina;Native;GNAME
Atriplex gardneri;Native;GNAME
Atriplex prostrata;Exotic;GNAME
Avena fatua;Exotic;GNAME
Avena sativa;Exotic;GNAME
Avenula hookeri;Native;GNAME
Axyris amaranthoides;Exotic;GNAME
Barbarea orthoceras;Native;GNAME
Beckmannia syzigachne;Native;GNAME
Betula neoalaskana;Native;GNAME
Betula occidentalis;Native;GNAME
Betula papyrifera;Native;GNAME
Bidens cernua;Native;GNAME
Bidens frondosa;Native;GNAME
Boechera grahamii;Native;GNAME
Botrychium lunaria;Native;GNAME
Botrychium virginianum;Native;GNAME
Bouteloua gracilis;Native;GNAME
Brassica juncea;Exotic;GNAME
Brassica napus;Exotic;GNAME
Brassica rapa;Exotic;GNAME
Bromus carinatus;Native;GNAME
Bromus ciliatus;Native;GNAME
Bromus commutatus;Exotic;GNAME
Bromus inermis;Exotic;GNAME
Bromus japonicus;Exotic;GNAME
Bromus porteri;Native;GNAME
Bromus tectorum;Exotic;GNAME
Calamagrostis canadensis;Native;GNAME
Calamagrostis montanensis;Native;GNAME
Calamagrostis rubescens;Native;GNAME
Calamagrostis stricta;Native;GNAME
Calla palustris;Native;GNAME
Callitriche hermaphroditica;Native;GNAME
Callitriche palustris;Native;GNAME
Callitriche stenoptera;Native;GNAME
Caltha natans;Native;GNAME
Caltha palustris;Native;GNAME
Calypso bulbosa;Native;GNAME
