"","occurence","SCIENTIFIC_NAME"
"2",1,"Agrostis exarata"
"9",1,"Anaphalis margaritacea"
"13",1,"Arceuthobium americanum"
"15",1,"Arnica lonchophylla"
"17",1,"Asparagus officinalis"
"20",1,"Astragalus eucosmus"
"29",1,"Brassica juncea"
"30",1,"Bromus carinatus"
"33",1,"Callitriche stenoptera"
"40",1,"Carex concinna"
"41",1,"Carex filifolia"
"42",1,"Carex hoodii"
"53",1,"Chenopodium atrovirens"
"55",1,"Chimaphila umbellata"
"56",1,"Cichorium intybus"
"62",1,"Cystopteris fragilis"
"77",1,"Fraxinus pennsylvanica"
"79",1,"Geranium carolinianum"
"80",1,"Hackelia floribunda"
"83",1,"Helianthus nuttallii"
"85",1,"Hesperostipa spartea"
"90",1,"Leptarrhena pyrolifolia"
"92",1,"Leymus cinereus"
"96",1,"Lobelia dortmanna"
"98",1,"Lolium perenne"
"100",1,"Lonicera utahensis"
"106",1,"Mentha spicata"
"119",1,"Paronychia sessiliflora"
"125",1,"Petunia hybrida"
"128",1,"Picea pungens"
"131",1,"Poa cusickii"
"133",1,"Polypodium sibiricum"
"135",1,"Potamogeton nodosus"
"137",1,"Primula pauciflora"
"138",1,"Prunella vulgaris"
"139",1,"Pseudoroegneria spicata"
"151",1,"Silene menziesii"
"152",1,"Sinapis alba"
"157",1,"Stenanthium occidentale"
"159",1,"Syringa vulgaris"
"163",1,"Ulmus americana"
"165",1,"Vicia cracca"
"3",2,"Allium schoenoprasum"
"6",2,"Alyssum alyssoides"
"10",2,"Anemone quinquefolia"
"12",2,"Antennaria pulcherrima"
"14",2,"Arnica latifolia"
"22",2,"Avena sativa"
"23",2,"Barbarea orthoceras"
"24",2,"Bistorta bistortoides"
"26",2,"Boechera stricta"
"27",2,"Botrychium dusenii"
"28",2,"Botrychium lunaria"
"31",2,"Bromus commutatus"
"34",2,"Calypso bulbosa"
"37",2,"Carex adusta"
"43",2,"Carex houghtoniana"
"44",2,"Carex leptopoda"
"45",2,"Carex microglochin"
"47",2,"Carex retrorsa"
"48",2,"Carex sect."
"49",2,"Carex sprengelii"
"54",2,"Chenopodium simplex"
"57",2,"Cirsium drummondii"
"59",2,"Cotoneaster lucidus"
"63",2,"Danthonia unispicata"
