SCIENTIFIC_NAME,range_species
Diphasiastrum complanatum,1.193761113
Goodyera repens,1.552124688
Mitella pentandra,1.552124688
Piptatherum pungens,1.095208363
Eriogonum flavum,1.552124688
Oxytropis sericea,1.552124688
Carex filifolia,1.552124688
Erigeron peregrinus,1.414262913
Platanthera orbiculata,1.133275842
Muhlenbergia asperifolia,1.462604489
Solidago multiradiata,1.32670543
Pedicularis bracteosa,1.552124688
Carex atratiformis,1.552124688
Psoralidium lanceolatum,1.552124688
Pinus X,1.552124688
Lupinus sericeus,1.462604489
Empetrum nigrum,1.142354793
Sarracenia purpurea,1.552124688
Sibbaldiopsis tridentata,1.193584582
Lycopodium dendroideum,1.056506796
Arctous rubra,1.120006754
Rhododendron tomentosum,1.134860795
Eriophorum brachyantherum,1.552124688
Carex loliacea,1.552124688
Eriophorum chamissonis,1.325140413
Platanthera dilatata,1.077309998
Phacelia franklinii,1.462604489
Carex scirpoidea,1.552124688
Muhlenbergia glomerata,1.552124688
Cypripedium parviflorum,1.552124688
Carex heleonastes,1.552124688
Tofieldia pusilla,1.552124688
Polypogon monspeliensis,1.414262913
Equisetum variegatum,1.552124688
Phleum alpinum,1.552124688
Sparganium emersum,1.552124688
Descurainia pinnata,1.462604489
Paronychia sessiliflora,1.552124688
Ranunculus flammula,1.462604489
