"","SCIENTIFIC_NAME","range_species"
"21","Allium textile",1.55212468836955
"50","Antennaria rosea",1.55212468836955
"54","Arabidopsis lyrata",1.55212468836955
"55","Arabis holboellii",1.55212468836955
"80","Astragalus alpinus",1.55212468836955
"85","Astragalus crassicarpus",1.55212468836955
"88","Astragalus flexuosus",1.55212468836955
"172","Carex heleonastes",1.55212468836955
"183","Carex loliacea",1.55212468836955
"200","Carex scirpoidea",1.55212468836955
"217","Castilleja occidentalis",1.55212468836955
"225","Chamaerhodos erecta",1.55212468836955
"242","Cinna latifolia",1.55212468836955
"270","Cypripedium parviflorum",1.55212468836955
"275","Dalea purpurea",1.55212468836955
"324","Equisetum variegatum",1.55212468836955
"337","Eriophorum brachyantherum",1.55212468836955
"348","Escobaria vivipara",1.55212468836955
"390","Goodyera repens",1.55212468836955
"401","Helianthus annuus",1.46260448897078
"417","Hymenoxys richardsonii",1.55212468836955
"468","Lithospermum ruderale",1.55212468836955
"479","Lupinus sericeus",1.46260448897078
"513","Mitella pentandra",1.55212468836955
"521","Muhlenbergia glomerata",1.55212468836955
"533","Nymphaea leibergii",1.55212468836955
"539","Opuntia fragilis",1.55212468836955
"549","Oxytropis sericea",1.55212468836955
"560","Pedicularis bracteosa",1.55212468836955
"577","Phacelia franklinii",1.55212468836955
"579","Phleum alpinum",1.55212468836955
"590","Pinus X",1.55212468836955
"668","Ranunculus flammula",1.55212468836955
"709","Sagittaria latifolia",1.55212468836955
"740","Sarracenia purpurea",1.55212468836955
"839","Tofieldia pusilla",1.55212468836955
"892","Zizania aquatica",1.55212468836955
