"Latitude","Longitude","Protocol","NRNAME","WetlandType","Site","Year","rich_chao","rich_observed","totdist_percent","CSI","propexotic"
49.04185,-111.05324,"Terrestrial","Grassland","Marsh","OG-1646-1",2012,61.625,56,0,0.930559861831815,7.14285714285714
49.04185,-111.05324,"Wetland","Grassland","Wet Meadow","1646",2016,51.7755102040816,38,0.9339641,0.672747365721304,15.7894736842105
49.045753,-112.432732,"Terrestrial","Grassland","Marsh","1654",2014,75.9,66,0,0.897993390915406,3.03030303030303
49.045753,-112.432732,"Terrestrial","Grassland","Marsh","OG-1654-5",2009,63.7142857142857,52,0,0.949380374221163,5.76923076923077
49.045753,-112.432732,"Wetland","Grassland","Shallow Lake","1654",2014,30.734375,24,1.1553223,0.501034182569013,20.8333333333333
49.061848,-111.235756,"Terrestrial","Grassland","Wet Meadow","1645",2016,77.3947368421053,68,69.0026024326505,0.810713740863901,25
49.061848,-111.235756,"Wetland","Grassland","Shallow Lake","1645",2009,63.5833333333333,45,91.1350981,0.701002000477451,26.6666666666667
49.061848,-111.235756,"Wetland","Grassland","Wet Meadow","1645B",2016,31.4,26,3.3639407,0.530989196217003,19.2307692307692
49.079758,-112.656418,"Wetland","Grassland","Shallow Lake","1653",2010,52.6363636363636,33,60.7093762,0.725399746150988,30.3030303030303
49.079758,-112.656418,"Wetland","Grassland","Wet Meadow","1653B",2016,27.4,12,12.1681851,0.760385058006734,8.33333333333333
49.096806,-110.153671,"Wetland","Grassland","Marsh","1632",2014,9.875,9,55.2591735,0.709000221384051,22.2222222222222
49.100117,-110.425667,"Terrestrial","Grassland","Marsh","1631",2014,63.0535714285714,48,2.72196698392095,1.03547725043592,10.4166666666667
49.100117,-110.425667,"Wetland","Grassland","Marsh","1631",2014,24.8181818181818,21,43.1189016,0.559440366861133,9.52380952380952
49.113228,-112.905777,"Wetland","Grassland","Wet Meadow","1652",2010,55.25,43,9.5915765,0.581735101248584,25.5813953488372
49.113228,-112.905777,"Wetland","Grassland","Wet Meadow","1652B",2016,37.4916666666667,30,33.6310823,0.523767772799042,23.3333333333333
49.124611,-111.844841,"Wetland","Grassland","Shallow Lake","1643",2012,31.875,15,5.3287637,0.60145227313174,26.6666666666667
49.126488,-113.182915,"Terrestrial","Grassland","Marsh","1651",2016,10.5,8,99.9995880894839,1.01649860067782,75
49.126488,-113.182915,"Wetland","Grassland","Marsh","1651",2010,46.6,27,79.6657983,0.5488915775969,29.6296296296296
49.127346,-111.570023,"Wetland","Grassland","Wet Meadow","1644",2016,47.2666666666667,33,6.9757388,0.514712268608197,15.1515151515152
49.173023,-112.103226,"Wetland","Grassland","Marsh","1642",2012,18.7777777777778,16,73.3404544,0.552993839923782,31.25
49.17863,-110.98966,"Wetland","Grassland","Marsh","1629",2016,23.75,18,18.0453646,0.617022753587634,27.7777777777778
49.191238,-113.802986,"Wetland","Parkland","Shallow Lake","OG-1649-1",2013,51.2727272727273,29,0,0.569068330218051,27.5862068965517
49.201641,-112.407562,"Terrestrial","Grassland","Marsh","1641",2012,83.8375,59,1.00856106433133,0.851360756570008,10.1694915254237
49.201641,-112.407562,"Wetland","Grassland","Shallow Lake","1641",2012,37.6818181818182,31,0,0.537887194649917,16.1290322580645
49.207878,-112.653221,"Terrestrial","Grassland","Marsh","OG-1640-1",2011,85.3571428571429,62,8.96097095714556,0.930627205676885,12.9032258064516
49.207878,-112.653221,"Wetland","Grassland","Marsh","1640",2010,56.7333333333333,44,69.6805244,0.683514600850797,15.9090909090909
49.207878,-112.653221,"Wetland","Grassland","Shallow Lake","OG-1640-1",2011,41.484375,21,0,0.593774094390561,19.047619047619
49.207878,-112.653221,"Wetland","Grassland","Shallow Lake","OG-1640-2",2013,97.79375,59,26.3976829,0.690569471709644,27.1186440677966
49.215382,-111.217354,"Wetland","Grassland","Marsh","1628",2010,36.225,15,8.196782,0.831924335906292,33.3333333333333
49.263149,-110.411758,"Wetland","Grassland","Shallow Lake","OG-1614-1",2013,40.3333333333333,19,0,0.529951616630418,10.5263157894737
49.26749,-111.504272,"Wetland","Grassland","Wet Meadow","1627",2016,41.3020833333333,33,88.9385908,0.675518509859718,24.2424242424242
49.284225,-112.923218,"Wetland","Grassland","Marsh","1639",2011,32.8666666666667,27,0,0.726158175432333,25.9259259259259
