Protocol,ABMI.Site,Year,Latitude,Longitude,climatic_moisture_defecit,FFP,MAP,MAT,summer_precip
Terrestrial,OG-1653,"2,015",49.07976,-112.65642,351.746423,105,382.0024327,4.537321603,256.626784
Terrestrial,OG-1521,"2,015",50.35693,-111.37356,443,123,325,4.4,204.0271012
Terrestrial,OG-1502,"2,015",50.53231,-111.32699,439.6565061,121,305.8743416,4.1,202
Terrestrial,OG-1499,"2,015",50.66954,-112.20715,393.0780503,119.0780503,350.5295319,4,226
Terrestrial,OG-1459,"2,015",50.93608,-111.83001,419.0335868,119,323,3.6,215
Terrestrial,OG-1412,"2,015",51.39874,-112.25328,309.8064002,109.9466246,386.2060519,3.2,265.2831937
Terrestrial,OG-1392,"2,015",51.38414,-111.07787,385.4860756,114,320,3,222
Terrestrial,OG-477,"2,015",56.86831,-111.9644,183.0185746,96,445.9814254,-0.5,293.9814254
Terrestrial,OG-510,"2,015",56.60224,-111.34372,202.6276854,100,450,0.1,295
Terrestrial,OG-571,"2,015",56.27215,-111.87826,174.5432924,93,465.9787923,-0.3,311.9790893
Terrestrial,OG-574,"2,015",56.17492,-110.90043,160.6722588,93,474.2946006,-0.500027521,313.2943253
Terrestrial,OG-583,"2,015",56.66353,-117.94723,189.5725734,101.0097539,431,0.2,273
Terrestrial,OG-623,"2,015",56.25379,-115.46197,174.9571373,96.2382389,467.7760487,0.02382389,302.7617611
Terrestrial,OG-629,"2,015",56.09234,-113.57583,157.613705,93,476,-0.4,317
Terrestrial,OG-651,"2,015",56.22181,-116.83249,237.9445489,88,432.055464,0,272.055464
Terrestrial,OG-721,"2,015",55.62492,-114.34543,78.71900639,96,550.2681697,0.157727677,370.8454465
Terrestrial,OG-744,"2,015",55.69475,-116.89549,196.9628988,103,470.0469829,1.100988166,305
Terrestrial,OG-825,"2,015",54.81195,-111.66528,177.2792546,103,459.6805324,0.9,320.6805324
Terrestrial,OG-927,"2,015",54.08101,-110.45197,197.0296596,109,448.1013716,1.210137161,308.1013716
Terrestrial,OG-543,"2,010",56.36729,-110.80702,185.9043404,99,457.9201255,-0.192012551,300.9201255
Terrestrial,OG-724,"2,010",55.56403,-113.35217,140.9154315,86.99502487,495.0422842,-0.4,336.0422842
Terrestrial,OG-793,"2,007",54.97646,-111.73012,175.9125147,103.54129,463.720877,0.9,324.5461953
Terrestrial,OG-1654,"2,009",49.04575,-112.43273,380.2671619,108.877246,362,4.838661583,246
Terrestrial,OG-787,"2,012",55.18819,-113.51355,136.0867633,98.99720775,506.9961195,0.6,344
Terrestrial,OG-608,"2,011",55.91721,-110.02763,159.6608959,100,458,-0.3,304
Terrestrial,OG-761,"2,011",55.15635,-111.65616,172.2332688,97,468.9090445,0.6,326.0711567
Terrestrial,OG-751,"2,008",55.48031,-114.73242,51.96704761,98.96704761,592.0606052,0.5,405.0184352
Terrestrial,OG-819,"2,012",55.01814,-113.5687,146.6758536,102.8379268,503.8379268,0.9,342.8221931
Terrestrial,OG-910,"2,014",54.68661,-115.55612,40.15634788,115,643.8940721,1.9,455.05042
Terrestrial,OG-510,"2,007",56.60224,-111.34372,202.6276854,100,450,0.1,295
Terrestrial,OG-758,"2,007",55.27935,-112.54231,183.2742923,97,452.689472,0.6,315
Terrestrial,OG-542,"2,008",56.40564,-111.11308,181.4257556,96,465,-0.2,305
Terrestrial,OG-616,"2,008",56.43682,-117.65735,225.2372802,99,416,0.5,265
Terrestrial,OG-1368,"2,009",51.57006,-110.75624,374.0133786,116,335.4062146,2.9,230
Terrestrial,OG-1369,"2,009",51.52145,-110.45863,375.987965,116,327.9932409,2.9,224.9932409
Terrestrial,OG-1462,"2,009",50.83058,-110.9912,442.5638398,118,272,3.689905557,188
Terrestrial,OG-1463,"2,009",50.81084,-110.74593,443.1790157,119,279.3159802,3.617901565,193
Terrestrial,OG-910,"2,010",54.68661,-115.55612,40.15634788,115,643.8940721,1.9,455.05042
Terrestrial,OG-1171,"2,010",53.28147,-116.76936,75.34653471,89,611.235795,2.2,427.1460533
Terrestrial,OG-1210,"2,010",52.93925,-114.77443,86.82760152,107,575.4684691,2.6,416.4684691
Terrestrial,OG-1326,"2,010",52.22186,-114.97753,96.72245,95,591.8230582,2.4,415.8644559
Terrestrial,OG-1484,"2,010",50.63069,-110.78565,434.7669816,119,290,3.938785211,197
Terrestrial,OG-637,"2,011",55.81191,-111.00403,172.1517411,95.68431891,467,0,314.3156811
Terrestrial,OG-692,"2,011",55.78749,-113.67171,154,95,484.1734958,-0.1,324
Terrestrial,OG-757,"2,011",55.32301,-112.86432,149.3152822,93.79444162,486,0.4,334
Terrestrial,OG-602,"2,012",56.08698,-111.85979,138.922892,87.08803433,480.9119657,-0.591196567,322.077108
Terrestrial,OG-561,"2,013",56.63496,-115.01726,169.9082369,96,465,-0.6,301
Terrestrial,OG-1498,"2,013",50.69774,-112.45594,369.4134248,119,376.5684612,4,243
Terrestrial,OG-943,"2,014",54.45257,-115.63842,47.69096086,112.519989,606.3090391,2.159078702,418.519989
Terrestrial,OG-1054,"2,014",53.57581,-112.46148,214.2187148,113,428.7812852,2,309
Terrestrial,OG-1122,"2,014",53.16484,-111.91934,224.1411061,115,439,2.114110613,318
Terrestrial,OG-1190,"2,014",52.71193,-111.23734,271.1118168,116,428,2.1,291
Terrestrial,OG-1331,"2,014",52.05285,-113.56522,212.409585,105,475.6215059,2.8,326.6215059
Terrestrial,OG-542,"2,007",56.40564,-111.11308,181.4257556,96,465,-0.2,305
Terrestrial,OG-727,"2,007",55.44312,-112.50106,167.6951047,92,471.6003224,0.347810367,326.3738532
Terrestrial,OG-760,"2,007",55.16457,-111.92387,170.9883921,95.99806535,470,0.5,328
Terrestrial,OG-788,"2,007",55.16579,-113.15926,164.678063,100,478,0.8,328
Terrestrial,OG-789,"2,007",55.11613,-112.90363,174,101,468,0.800098441,323
Terrestrial,OG-821,"2,007",54.93596,-113.00697,181.5172449,105.2428467,471.4409229,1.1,323.4525828
Terrestrial,OG-825,"2,007",54.81195,-111.66528,177.2792546,103,459.6805324,0.9,320.6805324
Terrestrial,OG-447,"2,008",57.00895,-111.88485,205.9347652,98,438.5933395,-0.559333948,287.1078581
Terrestrial,OG-448,"2,008",57.00475,-111.50598,209.9204664,106,423,0.1,278.5548907
Terrestrial,OG-511,"2,008",56.55365,-111.02831,186.8143816,98.98049072,456,-0.1,297.0195093
Terrestrial,OG-572,"2,008",56.24271,-111.52328,140.9969823,88,481.4859766,-0.748638952,320
Terrestrial,OG-574,"2,008",56.17492,-110.90043,160.6722588,93,474.2946006,-0.500027521,313.2943253
Terrestrial,OG-687,"2,008",55.88838,-115.15446,121.8731538,103,514.1268462,0.6,346.985109
Terrestrial,OG-720,"2,008",55.68632,-114.67077,106.3080135,103,529.3106693,0.6,360
Terrestrial,OG-785,"2,008",55.25191,-114.19865,133.9476675,104,509,0.9,349
Terrestrial,OG-845,"2,008",55.00496,-115.41241,62.62989285,109,602.4278157,1.862989285,421.6298928
Terrestrial,OG-1341,"2,009",51.70083,-110.63555,354.1328744,116,344.3900368,2.9,236
Terrestrial,OG-1389,"2,009",51.52292,-111.88457,331,115,380,3,254
Terrestrial,OG-1413,"2,009",51.33112,-111.98505,349.1310864,114.1310864,357.998714,3.3,242.998714
Terrestrial,OG-1414,"2,009",51.29928,-111.66685,390.0273381,115,329.7303703,3.2,224
Terrestrial,OG-1484,"2,009",50.63069,-110.78565,434.7669816,119,290,3.938785211,197
Terrestrial,OG-942,"2,010",54.50152,-115.89603,36.0014866,114,654.7883533,1.8,459.7883533
Terrestrial,OG-943,"2,010",54.45257,-115.63842,47.69096086,112.519989,606.3090391,2.159078702,418.519989
Terrestrial,OG-972,"2,010",54.36725,-116.85307,58.72958426,105,605,2.1,422.4426096
Terrestrial,OG-976,"2,010",54.28257,-115.62278,75.19720989,104,581.802808,2.1,403.802808
Terrestrial,OG-1005,"2,010",54.19338,-116.92171,56.60325776,106,617.3359028,2.398558231,439
Terrestrial,OG-1006,"2,010",54.16548,-116.58893,76.82394321,106,600.109711,2.5,428.109711
Terrestrial,OG-1007,"2,010",54.18933,-116.26938,79.35014531,105.6701073,585.7599064,2.154144138,413.8156202
Terrestrial,OG-1037,"2,010",54.09221,-117.6019,31.04064319,103,671.406655,2.1,451.9751763
Terrestrial,OG-1069,"2,010",53.91086,-117.96356,48.9999078,94.9999539,627,2.3,414.9999539
Terrestrial,OG-1071,"2,010",53.88097,-117.34242,44,96,624.2467984,2.2,434.2467984
Terrestrial,OG-1104,"2,010",53.69891,-117.31323,47.98460475,92,602.2200126,1.872717483,410.4774425
Terrestrial,OG-1136,"2,010",53.55517,-117.35732,97.51368329,95,555.448501,2.2,378.6041797
Terrestrial,OG-1175,"2,010",53.20847,-115.65059,67.36454221,103.9910834,601,2.337345884,435.9988747
Terrestrial,OG-1203,"2,010",53.11892,-116.85001,23.51479843,76.93088143,683.5084471,0.874014533,470.8669142
Terrestrial,OG-1208,"2,010",53.01833,-115.33805,62.98978223,108.464341,598.0102178,2.4,434.0273587
Terrestrial,OG-1325,"2,010",52.27702,-115.23737,86.20329059,75.88763901,596.0561805,1.64106843,417
Terrestrial,OG-1352,"2,010",52.08615,-115.32033,41.80959561,81.80695436,616.3362415,1.452303567,418.7633561
Terrestrial,OG-1353,"2,010",52.01874,-115.00626,72.7329888,83,601.6107502,2.1,421.5964593
Terrestrial,OG-1354,"2,010",52.06047,-114.73239,107.9812964,96,565.4105485,2.5,401.0042106
Terrestrial,OG-608,"2,010",55.91721,-110.02763,159.6608959,100,458,-0.3,304
Terrestrial,OG-1054,"2,011",53.57581,-112.46148,214.2187148,113,428.7812852,2,309
