Protocol,ABMI.Site,Year,Latitude,Longitude,NSRNAME,NRNAME
Terrestrial,OG-477,2015,56.868309,-111.964401,Central Mixedwood,Boreal
Terrestrial,OG-510,2015,56.602238,-111.343719,Central Mixedwood,Boreal
Terrestrial,OG-571,2015,56.272148,-111.878265,Central Mixedwood,Boreal
Terrestrial,OG-574,2015,56.174919,-110.900429,Central Mixedwood,Boreal
Terrestrial,OG-583,2015,56.663528,-117.947227,Lower Boreal Highlands,Boreal
Terrestrial,OG-623,2015,56.253788,-115.461967,Central Mixedwood,Boreal
Terrestrial,OG-629,2015,56.092342,-113.575829,Central Mixedwood,Boreal
Terrestrial,OG-651,2015,56.221806,-116.832489,Central Mixedwood,Boreal
Terrestrial,OG-744,2015,55.694748,-116.895493,Dry Mixedwood,Boreal
Terrestrial,OG-825,2015,54.811955,-111.665276,Central Mixedwood,Boreal
Terrestrial,OG-927,2015,54.081009,-110.451973,Central Mixedwood,Boreal
Terrestrial,OG-543,2010,56.367294,-110.807022,Central Mixedwood,Boreal
Terrestrial,OG-724,2010,55.564034,-113.352173,Central Mixedwood,Boreal
Terrestrial,OG-793,2007,54.976463,-111.730118,Central Mixedwood,Boreal
Terrestrial,OG-787,2012,55.188187,-113.51355,Central Mixedwood,Boreal
Terrestrial,OG-608,2011,55.91721,-110.027626,Central Mixedwood,Boreal
Terrestrial,OG-761,2011,55.156345,-111.656158,Central Mixedwood,Boreal
Terrestrial,OG-819,2012,55.018139,-113.568703,Central Mixedwood,Boreal
Terrestrial,OG-510,2007,56.602238,-111.343719,Central Mixedwood,Boreal
Terrestrial,OG-758,2007,55.27935,-112.542313,Central Mixedwood,Boreal
Terrestrial,OG-542,2008,56.405643,-111.113083,Central Mixedwood,Boreal
Terrestrial,OG-616,2008,56.436817,-117.657349,Dry Mixedwood,Boreal
Terrestrial,OG-1210,2010,52.939247,-114.774429,Central Mixedwood,Boreal
Terrestrial,OG-637,2011,55.811905,-111.004028,Central Mixedwood,Boreal
Terrestrial,OG-692,2011,55.787491,-113.671707,Central Mixedwood,Boreal
Terrestrial,OG-757,2011,55.323009,-112.864319,Central Mixedwood,Boreal
Terrestrial,OG-602,2012,56.086975,-111.859787,Lower Boreal Highlands,Boreal
Terrestrial,OG-561,2013,56.634964,-115.017265,Central Mixedwood,Boreal
Terrestrial,OG-542,2007,56.405643,-111.113083,Central Mixedwood,Boreal
Terrestrial,OG-727,2007,55.443119,-112.50106,Central Mixedwood,Boreal
Terrestrial,OG-760,2007,55.164566,-111.923866,Central Mixedwood,Boreal
Terrestrial,OG-788,2007,55.165794,-113.159264,Central Mixedwood,Boreal
Terrestrial,OG-789,2007,55.116135,-112.903625,Central Mixedwood,Boreal
Terrestrial,OG-821,2007,54.935959,-113.006966,Dry Mixedwood,Boreal
Terrestrial,OG-825,2007,54.811955,-111.665276,Central Mixedwood,Boreal
Terrestrial,OG-447,2008,57.008949,-111.88485,Central Mixedwood,Boreal
Terrestrial,OG-448,2008,57.004749,-111.505981,Central Mixedwood,Boreal
Terrestrial,OG-511,2008,56.553654,-111.028305,Central Mixedwood,Boreal
Terrestrial,OG-572,2008,56.242714,-111.523277,Lower Boreal Highlands,Boreal
Terrestrial,OG-574,2008,56.174919,-110.900429,Central Mixedwood,Boreal
Terrestrial,OG-687,2008,55.888378,-115.154457,Central Mixedwood,Boreal
Terrestrial,OG-720,2008,55.686321,-114.670769,Central Mixedwood,Boreal
Terrestrial,OG-785,2008,55.251911,-114.198654,Central Mixedwood,Boreal
Terrestrial,OG-1354,2010,52.060474,-114.732391,Dry Mixedwood,Boreal
Terrestrial,OG-608,2010,55.91721,-110.027626,Central Mixedwood,Boreal
Terrestrial,OG-1082,2011,53.58836,-113.994789,Dry Mixedwood,Boreal
Terrestrial,OG-1212,2011,52.890835,-114.195892,Central Mixedwood,Boreal
Terrestrial,OG-477,2011,56.868309,-111.964401,Central Mixedwood,Boreal
Terrestrial,OG-602,2011,56.086975,-111.859787,Lower Boreal Highlands,Boreal
Terrestrial,OG-635,2011,55.89463,-111.675308,Lower Boreal Highlands,Boreal
Terrestrial,OG-702,2011,55.394737,-110.568474,Central Mixedwood,Boreal
Terrestrial,OG-818,2012,55.047272,-113.870064,Central Mixedwood,Boreal
Terrestrial,OG-388,2013,57.341125,-111.48172,Central Mixedwood,Boreal
Terrestrial,OG-420,2013,57.12814,-110.874931,Central Mixedwood,Boreal
Terrestrial,OG-448,2013,57.004749,-111.505981,Central Mixedwood,Boreal
Terrestrial,OG-449,2013,56.976021,-111.28054,Central Mixedwood,Boreal
Terrestrial,OG-542,2013,56.405643,-111.113083,Central Mixedwood,Boreal
Terrestrial,OG-572,2013,56.242714,-111.523277,Lower Boreal Highlands,Boreal
Terrestrial,OG-574,2013,56.174919,-110.900429,Central Mixedwood,Boreal
Terrestrial,OG-618,2013,56.345371,-116.711296,Central Mixedwood,Boreal
Terrestrial,OG-619,2013,56.385921,-117.012878,Dry Mixedwood,Boreal
Terrestrial,OG-669,2013,55.636261,-111.128052,Central Mixedwood,Boreal
Terrestrial,OG-701,2013,55.44717,-110.891159,Central Mixedwood,Boreal
Terrestrial,OG-828,2013,54.705143,-110.820778,Central Mixedwood,Boreal
Terrestrial,OG-862,2013,54.404869,-110.262115,Dry Mixedwood,Boreal
Terrestrial,OG-468,2014,57.12431,-114.855614,Central Mixedwood,Boreal
Terrestrial,OG-479,2014,56.755344,-111.322632,Central Mixedwood,Boreal
Terrestrial,OG-531,2014,56.744755,-114.707581,Lower Boreal Highlands,Boreal
Terrestrial,OG-543,2014,56.367294,-110.807022,Central Mixedwood,Boreal
Terrestrial,OG-562,2014,56.596901,-114.647148,Lower Boreal Highlands,Boreal
Terrestrial,OG-590,2014,56.49427,-115.735558,Central Mixedwood,Boreal
Terrestrial,OG-653,2014,56.148235,-116.120285,Central Mixedwood,Boreal
Terrestrial,OG-660,2014,55.955322,-113.965317,Central Mixedwood,Boreal
Terrestrial,OG-665,2014,55.799694,-112.317108,Central Mixedwood,Boreal
Terrestrial,OG-687,2014,55.888378,-115.154457,Central Mixedwood,Boreal
Terrestrial,OG-720,2014,55.686321,-114.670769,Central Mixedwood,Boreal
Terrestrial,OG-783,2014,55.300171,-114.781647,Central Mixedwood,Boreal
Terrestrial,OG-927,2014,54.081009,-110.451973,Central Mixedwood,Boreal
Terrestrial,OG-954,2014,54.135212,-112.3311,Dry Mixedwood,Boreal
Terrestrial,OG-1085,2014,53.485844,-113.120331,Dry Mixedwood,Boreal
Terrestrial,630,2003,56.071377,-113.253578,Central Mixedwood,Boreal
Terrestrial,638,2003,55.781212,-110.729614,Central Mixedwood,Boreal
Terrestrial,655,2003,56.103893,-115.517708,Central Mixedwood,Boreal
Terrestrial,656,2003,56.088947,-115.157852,Central Mixedwood,Boreal
Terrestrial,661,2003,55.939598,-113.585197,Central Mixedwood,Boreal
Terrestrial,669,2003,55.636261,-111.128052,Central Mixedwood,Boreal
Terrestrial,687,2003,55.888378,-115.154457,Central Mixedwood,Boreal
Terrestrial,690,2003,55.789543,-114.290833,Central Mixedwood,Boreal
Terrestrial,701,2003,55.44717,-110.891159,Central Mixedwood,Boreal
Terrestrial,702,2003,55.394737,-110.568474,Central Mixedwood,Boreal
Terrestrial,717,2003,55.742378,-115.578911,Central Mixedwood,Boreal
Terrestrial,718,2003,55.723232,-115.245811,Central Mixedwood,Boreal
Terrestrial,720,2003,55.686321,-114.670769,Central Mixedwood,Boreal
Terrestrial,753,2003,55.416237,-114.079887,Central Mixedwood,Boreal
Terrestrial,760,2003,55.164566,-111.923866,Central Mixedwood,Boreal
Terrestrial,761,2003,55.156345,-111.656158,Central Mixedwood,Boreal
Terrestrial,782,2003,55.360718,-115.04541,Central Mixedwood,Boreal
Terrestrial,785,2003,55.251911,-114.198654,Central Mixedwood,Boreal
Terrestrial,790,2003,55.093498,-112.52639,Central Mixedwood,Boreal
Terrestrial,791,2003,55.034576,-112.233109,Central Mixedwood,Boreal
Terrestrial,792,2003,55.02652,-112.013039,Central Mixedwood,Boreal
Terrestrial,793,2003,54.976463,-111.730118,Central Mixedwood,Boreal
Terrestrial,818,2003,55.047272,-113.870064,Central Mixedwood,Boreal
Terrestrial,825,2003,54.811955,-111.665276,Central Mixedwood,Boreal
Terrestrial,848,2003,54.902222,-114.573601,Central Mixedwood,Boreal
Terrestrial,478,2004,56.848339,-111.667648,Central Mixedwood,Boreal
Terrestrial,480,2004,56.739231,-110.993187,Central Mixedwood,Boreal
Terrestrial,481,2004,56.698807,-110.673233,Central Mixedwood,Boreal
Terrestrial,482,2004,56.648621,-110.33329,Central Mixedwood,Boreal
Terrestrial,509,2004,56.633797,-111.700684,Central Mixedwood,Boreal
Terrestrial,511,2004,56.553654,-111.028305,Central Mixedwood,Boreal
Terrestrial,512,2004,56.563141,-110.742599,Central Mixedwood,Boreal
Terrestrial,540,2004,56.454128,-111.739182,Central Mixedwood,Boreal
Terrestrial,543,2004,56.367294,-110.807022,Central Mixedwood,Boreal
Terrestrial,571,2004,56.272148,-111.878265,Central Mixedwood,Boreal
Terrestrial,572,2004,56.242714,-111.523277,Lower Boreal Highlands,Boreal
Terrestrial,573,2004,56.217773,-111.191597,Lower Boreal Highlands,Boreal
Terrestrial,574,2004,56.174919,-110.900429,Central Mixedwood,Boreal
Terrestrial,575,2004,56.109257,-110.594681,Central Mixedwood,Boreal
