Site_Year,inOSR,NRNAME_real,NSRNAME_real,LUF_NAME_real,UrbanIndustrial,UrbanResidence,RuralResidentialIndustrial,IndustrialSiteRural,WindGenerationFacility,OtherDisturbedVegetation,MineSite,PeatMine,WellSite,Pipeline,TransmissionLine,SeismicLineNarrow,SeismicLineWide,RoadHardSurface,RailHardSurface,RoadTrailVegetated,RoadVegetatedVerge,RailVegetatedVerge,CultivationCrop,CultivationAbandoned,CultivationRoughPasture,CultivationTamePasture,HighDensityLivestockOperation,BorrowpitsDugoutsSumps,MunicipalWaterSewage,Reservoirs,Canals,ForestHarvest
W1118_2007,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0.033327806,0,0,0,0,0,0,0,0,0,0,0.024635995,0,0.001985422,0.048893373,0,0.284243566,0,0.036941861,0,0,0,0,0,0,0
W1506_2007,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033614802,0,0,0,0,0.804069083,0,0,0,0,0,0,0.133604131,0,0
W1526_2007,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0.005196786,0.011068232,0,0,0.001227261,0.005215697,0,0.011738633,0.009169568,0,0,0,0,0,0,0,0,0,0,0
W1544_2007,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11E-05,0,0,0,0
W1545_2007,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016427122,0,0,0.081337417,0,0,0,0,0,0,0.022469187,0,0
W1601_2007,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0.180718207,0,0,0,0,0,0,0,0,0,0.001792927,0.022937331,0,0.036512117,0.038038866,0,0.203132593,0,0,0,0,0,0,0.002498449,0,0
W1602_2007,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.016406673,0,0,0,0,0,0,0,0,0,0,0,0,0.001190914,0,0
W1603_2007,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0.018230314,0,0,0,0,0,0,0,0,0,0,0,0,0.601992452,0,0,0,0,0,0,0,0,0
W1620_2007,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099214005,0,0,0,0,0,0,0,0,0
W721_2008,TRUE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306891484
W751_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.017466751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W752_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.02279656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192891799
W866_2008,FALSE,Parkland,Peace River Parkland,Upper Peace,0,0,0,0,0,0,0,0,0,0,0,0,0.002820889,0,0,0.01924616,0,0,0.528578546,0,0,0,0,0.004974447,0,0,0,0
W932_2008,FALSE,Foothills,Lower Foothills,Upper Peace,0,0,0,0.018184073,0,0,0,0,0.072986234,0.014886224,0,0,0,0,0,0.052646762,0,0,0,0,0,0,0,0.017332991,0,0,0,0.014548369
