OBJECTID,ABMI_Assigned_Site_ID,survey_year,Site_YEAR,On_Off,UID,BUFF_DIST,ORIG_FID,FEATURE_TY,year,SOURCE,HFI_ID,BNDRY_SOURCE,Shape_Length,Shape_Area
1,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,495.651826662736312,1449.919525474905640
2,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,400.018119019338940,1163.471497574652631
3,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,492.690219150321752,1441.097771951187042
4,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,610.477856896475373,1794.703733812987821
5,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,8.497340671500924,1.014339124656223
6,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,13.307747543043060,3.502263881438125
7,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,13.308284648698216,3.502549375426434
8,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,8.496601249979816,1.013731372526821
9,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,0.767204049667125,0.001197375287058
10,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,0.767204031764988,0.001197249216694
11,701,2003,701_2003,On-Grid,701-2003,250.000000000000000,16,CUTLINE-TRAIL,,ABMI16,,,18.845728141491378,28.251625756973290
12,669,2003,669_2003,On-Grid,669-2003,250.000000000000000,21,CUTLINE-TRAIL,,ABMI16,,,881.923278984291869,2591.498304713674770
13,669,2003,669_2003,On-Grid,669-2003,250.000000000000000,21,CUTLINE-TRAIL,,ABMI16,,,114.818655285910921,308.074995075784898
14,669,2003,669_2003,On-Grid,669-2003,250.000000000000000,21,CUTLINE-TRAIL,,ABMI16,,,43.698924008875167,68.911400062970444
15,669,2003,669_2003,On-Grid,669-2003,250.000000000000000,21,CUTLINE-TRAIL,,ABMI16,,,18.060857126992580,18.002167122494583
