OBJECTID,ABMI_Assigned_Site_ID,Survey_Year,Site_YEAR,On_Off,UID,BUFF_DIST,FEATURE_TY,Shape_Length,Shape_Area
49,792,2003,792_2003,On-Grid,792-2003,250,NA,1570.796327,196349.5408
138,718,2003,718_2003,On-Grid,718-2003,250,NA,1570.796327,196349.5408
144,630,2003,630_2003,On-Grid,630-2003,250,NA,1570.796327,196349.5408
204,878,2003,878_2003,On-Grid,878-2003,250,NA,2732.151637,80930.16743
206,846,2003,846_2003,On-Grid,846-2003,250,NA,1647.512109,195847.2084
211,753,2003,753_2003,On-Grid,753-2003,250,NA,1570.796327,196349.5408
212,878,2003,878_2003,On-Grid,878-2003,250,CUTLINE-TRAIL,456.9376056,1310.437945
213,878,2003,878_2003,On-Grid,878-2003,250,CUTLINE-TRAIL,117.9991281,291.8497711
214,878,2003,878_2003,On-Grid,878-2003,250,CUTLINE-TRAIL,200.8255058,262.8130596
215,878,2003,878_2003,On-Grid,878-2003,250,CUTBLOCK,252.9706766,2279.639478
216,878,2003,878_2003,On-Grid,878-2003,250,CUTBLOCK,354.4782137,3826.088629
217,878,2003,878_2003,On-Grid,878-2003,250,CUTBLOCK,667.8809914,6410.696793
218,878,2003,878_2003,On-Grid,878-2003,250,CUTBLOCK,1656.260366,101036.8987
220,846,2003,846_2003,On-Grid,846-2003,250,CUTLINE-TRAIL,231.9255908,501.865241
293,933,2004,933_2004,On-Grid,933-2004,250,NA,2515.994026,193678.4149
303,792,2004,792_2004,On-Grid,792-2004,250,NA,1570.796327,196349.5408
316,933,2004,933_2004,On-Grid,933-2004,250,CUTLINE-TRAIL,397.0368875,1095.251028
317,933,2004,933_2004,On-Grid,933-2004,250,CUTLINE-TRAIL,645.7995826,1575.056624
318,753,2004,753_2004,On-Grid,753-2004,250,NA,1570.796327,196349.5408
539,573,2004,573_2004,On-Grid,573-2004,250,NA,1570.796327,196349.5408
543,540,2004,540_2004,On-Grid,540-2004,250,NA,1570.796327,196349.5408
544,512,2004,512_2004,On-Grid,512-2004,250,NA,1570.796327,196349.5408
547,482,2004,482_2004,On-Grid,482-2004,250,NA,1570.796327,196349.5408
650,774,2005,774_2005,On-Grid,774-2005,250,NA,1570.796327,196349.5408
684,570,2005,570_2005,On-Grid,570-2005,250,NA,1570.796327,196349.5408
685,477,2005,477_2005,On-Grid,477-2005,250,NA,1570.796327,196349.5408
712,792,2005,792_2005,On-Grid,792-2005,250,NA,1570.796327,196349.5408
715,753,2005,753_2005,On-Grid,753-2005,250,NA,1570.796327,196349.5408
918,523,2005,523_2005,On-Grid,523-2005,250,NA,1570.796327,196349.5408
1228,545,2006,545_2006,On-Grid,545-2006,250,NA,1570.796327,196349.5408
1229,544,2006,544_2006,On-Grid,544-2006,250,NA,1570.796327,196349.5408
1231,539,2006,539_2006,On-Grid,539-2006,250,NA,1570.796327,196349.5408
1233,538,2006,538_2006,On-Grid,538-2006,250,NA,1570.796327,196349.5408
1234,508,2006,508_2006,On-Grid,508-2006,250,NA,1570.796327,196349.5408
1235,483,2006,483_2006,On-Grid,483-2006,250,NA,1570.796327,196349.5408
1270,792,2006,792_2006,On-Grid,792-2006,250,NA,1570.796327,196349.5408
1273,753,2006,753_2006,On-Grid,753-2006,250,NA,1570.796327,196349.5408
1481,1620,2007,1620_2007,On-Grid,1620-2007,250,NA,2463.010351,133260.2933
1482,1602,2007,1602_2007,On-Grid,1602-2007,250,NA,1570.796327,196349.5408
1483,1601,2007,1601_2007,On-Grid,1601-2007,250,NA,1621.79599,175050.2134
1484,1544,2007,1544_2007,On-Grid,1544-2007,250,NA,417.7031645,8311.133785
1485,1526,2007,1526_2007,On-Grid,1526-2007,250,NA,3440.501552,182943.3947
1486,1525,2007,1525_2007,On-Grid,1525-2007,250,NA,2849.170845,189433.0218
1487,1254,2007,1254_2007,On-Grid,1254-2007,250,NA,3241.409797,188551.4734
1488,1253,2007,1253_2007,On-Grid,1253-2007,250,NA,1917.171284,58138.12725
1489,1149,2007,1149_2007,On-Grid,1149-2007,250,NA,849.6586367,7440.903895
1490,1118,2007,1118_2007,On-Grid,1118-2007,250,NA,1213.176215,44339.95608
1491,1620,2007,1620_2007,On-Grid,1620-2007,250,CUTLINE-TRAIL,372.1432438,1061.69534
1492,1620,2007,1620_2007,On-Grid,1620-2007,250,CUTLINE-TRAIL,239.3289478,648.8205532
1493,1620,2007,1620_2007,On-Grid,1620-2007,250,CUTLINE-TRAIL,45.48994978,84.89354637
1494,1620,2007,1620_2007,On-Grid,1620-2007,250,CUTLINE-TRAIL,18.95666323,28.42172728
1495,1620,2007,1620_2007,On-Grid,1620-2007,250,CUTLINE-TRAIL,19.12758863,28.67901375
1496,1620,2007,1620_2007,On-Grid,1620-2007,250,CULTIVATION,545.5775349,13187.87721
1497,1620,2007,1620_2007,On-Grid,1620-2007,250,RURAL_1-5ha,669.2140812,25613.93765
1498,1620,2007,1620_2007,On-Grid,1620-2007,250,RURAL_1-5ha,406.932438,8806.474559
1499,1620,2007,1620_2007,On-Grid,1620-2007,250,SOFT_ROAD-GRAVEL-1L,263.398841,1097.816726
1500,1620,2007,1620_2007,On-Grid,1620-2007,250,SOFT_ROAD-GRAVEL-1L,289.7454587,1217.654411
1501,1620,2007,1620_2007,On-Grid,1620-2007,250,SOFT_ROAD-GRAVEL-1L,729.6626432,3197.263479
1502,1620,2007,1620_2007,On-Grid,1620-2007,250,SOFT_ROAD-GRAVEL-1L,739.922834,3245.317364
1503,1620,2007,1620_2007,On-Grid,1620-2007,250,ROAD-GRAVEL-1L,278.8512615,1287.534121
1504,1620,2007,1620_2007,On-Grid,1620-2007,250,ROAD-GRAVEL-1L,737.6803501,3581.697021
1505,1603,2007,1603_2007,On-Grid,1603-2007,250,CULTIVATION,1570.796327,196349.5408
1506,1601,2007,1601_2007,On-Grid,1601-2007,250,CULTIVATION,638.5047478,21298.65831
1507,1545,2007,1545_2007,On-Grid,1545-2007,250,CULTIVATION,1570.796327,196349.5408
1508,1544,2007,1544_2007,On-Grid,1544-2007,250,CULTIVATION,1627.854028,188037.7766
1509,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,411.1262118,2280.857276
1510,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,333.5027103,1781.624629
1511,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,20.8063853,6.824567128
1512,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,22.86016424,8.771568496
1513,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,0.785620128,6.26E-04
1514,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,25.86177334,20.07969524
1515,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,21.32973408,24.62728712
1516,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,37.69263627,113.0184015
1517,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,22.18612175,16.30211875
1518,1526,2007,1526_2007,On-Grid,1526-2007,250,PIPELINE,157.969445,804.2081467
1519,1526,2007,1526_2007,On-Grid,1526-2007,250,WELL-GAS,194.8640678,1611.288823
1520,1526,2007,1526_2007,On-Grid,1526-2007,250,WELL-GAS,173.3653783,1423.902588
1521,1526,2007,1526_2007,On-Grid,1526-2007,250,ROAD-UNIMPROVED,907.1709714,5313.482454
1522,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,871.0188867,5057.827659
1523,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,137.5735471,647.1248003
1524,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,43.50000355,45.90203449
1525,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,9.45090424,0.746359626
1526,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,9.450278428,0.744336753
1527,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,43.49880578,45.89558399
1528,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,0.785177218,4.54E-04
1529,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,0.785399709,4.16E-04
1530,1525,2007,1525_2007,On-Grid,1525-2007,250,PIPELINE,37.6923607,113.0165791
