Geographic code,Geo_name,Geo_type,Province,"Geographic code, Census division","Geographic code, Census metropolitan area / census agglomeration",Pop_2016,"Incompletely enumerated Indian reserves and Indian settlements, 2016",Pop_2011,2011 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2011",2011 population review or received update flag,Pop_percent_change,Total private dwellings 2016,Total private dwellings 2011,2011 adjusted total private dwellings flag,Total private dwellings_percent_change,"Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011",2011 adjusted private dwellings occupied by usual residents flag,"Private dwellings occupied by usual residents, % change",Land area in square kilometres_2016,Population density per square kilometre_2016,"National population rank, 2016","Provincial/territorial population rank, 2016"
4804001,Acadia No. 34,Municipal district,Alberta,4804,,493,F,495,F,F,,-0.4,184,161,F,14.3,159,151,F,5.3,1082.6,0.5,2983,260
4805044,Acme,Village,Alberta,4805,,653,F,653,F,F,,0,301,295,F,2,281,270,F,4.1,2.48,263,2637,243
4806021,Airdrie,City,Alberta,4806,825,61581,F,43271,T,F,D,42.3,22398,15871,T,41.1,21661,15251,T,42,84.57,728.2,89,10
4813012,Alberta Beach,Village,Alberta,4813,,1018,F,865,F,F,,17.7,743,747,F,-0.5,479,425,F,12.7,2.01,507.1,2074,197
4811805,Alexander 134,Indian reserve,Alberta,4811,835,1099,F,1027,F,F,,7,349,282,F,23.8,272,247,F,10.1,68.39,16.1,1977,188
4813811,Alexis 133,Indian reserve,Alberta,4813,,755,F,817,F,F,,-7.6,209,204,F,2.5,173,191,F,-9.4,57.36,13.2,2443,228
4808034,Alix,Village,Alberta,4808,,734,F,830,F,F,,-11.6,385,388,F,-0.8,343,355,F,-3.4,3.13,234.4,2481,231
4807032,Alliance,Village,Alberta,4807,,154,F,174,F,F,,-11.5,107,103,F,3.9,83,82,F,1.2,0.51,299.3,4094,347
4816850,Allison Bay 219,Indian reserve,Alberta,4816,860,127,F,84,F,F,,51.2,46,37,F,24.3,38,29,F,31,19.23,6.6,4211,361
4807008,Amisk,Village,Alberta,4807,,204,F,207,F,F,,-1.4,103,95,F,8.4,84,84,F,0,0.76,268.3,3905,321
4810059,Andrew,Village,Alberta,4810,,425,F,379,F,F,,12.1,266,254,F,4.7,201,203,F,-1,1.17,363.4,3169,269
4811003,Argentia Beach,Summer village,Alberta,4811,,27,F,15,F,F,,80,100,115,F,-13,17,11,F,54.5,0.73,37.1,4661,404
4805011,Arrowwood,Village,Alberta,4805,,207,F,188,F,F,,10.1,79,74,F,6.8,72,70,F,2.9,0.75,276.1,3893,319
4813048,Athabasca,Town,Alberta,4813,,2965,F,2990,F,F,,-0.8,1313,1283,F,2.3,1194,1175,F,1.6,17.65,168,1028,125
4813044,Athabasca County,Municipal district,Alberta,4813,,7869,F,7662,F,F,,2.7,4093,3835,F,6.7,3067,2965,F,3.4,6124.43,1.3,498,59
4815035,Banff,Town,Alberta,4815,,7851,F,7584,F,F,,3.5,2729,2850,F,-4.2,2543,2565,F,-0.9,4.77,1646,500,60
4802023,Barnwell,Village,Alberta,4802,,947,F,771,F,F,,22.8,266,217,F,22.6,260,213,F,22.1,1.51,625.6,2167,206
4802016,Barons,Village,Alberta,4802,810,341,F,315,F,F,,8.3,148,139,F,6.5,132,124,F,6.5,0.81,419.5,3419,284
4813019,Barrhead,Town,Alberta,4813,,4579,F,4432,F,F,,3.3,2009,1932,F,4,1912,1805,F,5.9,8.17,560.4,761,92
4813018,Barrhead County No. 11,Municipal district,Alberta,4813,,6288,F,6096,F,F,,3.1,2830,2718,F,4.1,2298,2206,F,4.2,2406.25,2.6,605,73
4810002,Bashaw,Town,Alberta,4810,,830,F,873,F,F,,-4.9,418,431,F,-3,379,376,F,0.8,2.99,277.8,2335,216
4802039,Bassano,Town,Alberta,4802,806,1206,F,1282,F,F,,-5.9,556,585,F,-5,536,542,F,-1.1,5.22,231.2,1867,183
4810009,Bawlf,Village,Alberta,4810,,422,F,403,F,F,,4.7,175,171,F,2.3,165,155,F,6.5,0.89,473.3,3173,270
4811013,Beaumont,Town,Alberta,4811,835,17396,F,13284,F,F,,31,5980,4566,F,31,5633,4369,F,28.9,10.47,1661.1,247,25
4810016,Beaver County,Municipal district,Alberta,4810,,5905,F,5689,F,F,,3.8,2381,2324,F,2.5,2177,2109,F,3.2,3317.57,1.8,638,77
4812828,Beaver Lake 131,Indian reserve,Alberta,4812,,414,F,423,F,F,,-2.1,115,114,F,0.9,105,100,F,5,57.19,7.2,3191,271
4817841,Beaver Ranch 163,Indian reserve,Alberta,4817,,10,F,16,F,F,,-37.5,7,8,F,-12.5,5,5,F,0,9.22,1.1,4749,410
4819009,Beaverlodge,Town,Alberta,4819,,2465,F,2365,F,F,,4.2,1024,981,F,4.4,953,892,F,6.8,5.73,430.5,1179,137
4806024,Beiseker,Village,Alberta,4806,825,819,F,785,F,F,,4.3,338,338,F,0,331,323,F,2.5,2.85,287.1,2356,223
4808026,Bentley,Town,Alberta,4808,,1078,F,1073,F,F,,0.5,463,469,F,-1.3,441,440,F,0.2,2.24,482.2,1998,191
4819072,Berwyn,Village,Alberta,4819,,538,F,526,F,F,,2.3,255,252,F,1.2,232,225,F,3.1,1.58,341.2,2881,254
4811039,Betula Beach,Summer village,Alberta,4811,835,16,F,10,F,F,,60,40,40,F,0,7,6,F,16.7,0.25,65,4724,409
4809810,Big Horn 144A,Indian reserve,Alberta,4809,,237,F,134,F,F,,76.9,59,45,F,31.1,44,40,F,10,22.28,10.6,3785,306
4817027,Big Lakes County,Municipal district,Alberta,4817,,5672,F,5912,F,F,,-4.1,2728,2710,F,0.7,2099,2143,F,-2.1,13942.43,0.4,655,80
4807021,Big Valley,Village,Alberta,4807,,346,F,364,F,F,,-4.9,189,187,F,1.1,167,168,F,-0.6,1.86,186.4,3395,281
4815015,Bighorn No. 8,Municipal district,Alberta,4815,,1334,F,1341,F,F,,-0.5,766,797,F,-3.9,556,547,F,1.6,2761.18,0.5,1762,173
4813013,Birch Cove,Summer village,Alberta,4813,,45,F,45,F,F,,0,74,60,F,23.3,20,20,F,0,0.3,148.7,4571,394
4819049,Birch Hills County,Municipal district,Alberta,4819,,1553,F,1582,F,F,,-1.8,616,596,F,3.4,496,519,F,-4.4,2859.6,0.5,1609,165
4808023,Birchcliff,Summer village,Alberta,4808,,117,F,112,F,F,,4.5,98,79,F,24.1,44,42,F,4.8,1.03,113.4,4246,364
4810012,Bittern Lake,Village,Alberta,4810,,220,F,224,F,F,,-1.8,88,85,F,3.5,86,83,F,3.6,6.57,33.5,3846,310
4806011,Black Diamond,Town,Alberta,4806,,2700,F,2373,F,F,,13.8,1108,1001,F,10.7,1098,945,F,16.2,3.84,702.7,1102,130
4808029,Blackfalds,Town,Alberta,4808,,9328,F,6300,F,F,,48.1,3552,2458,F,44.5,3302,2250,F,46.8,16.44,567.3,437,49
4803802,Blood 148,Indian reserve,Alberta,4803,,4570,F,4679,F,F,,-2.3,1436,1179,F,21.8,1147,1124,F,2,1414.31,3.2,763,93
4803803,Blood 148A,Indian reserve,Alberta,4803,,0,F,0,F,F,,,0,0,F,,0,0,F,,18.43,0,4870,416
4811066,Bon Accord,Town,Alberta,4811,835,1529,F,1488,F,F,,2.8,578,569,F,1.6,560,541,F,3.5,2.13,718.7,1621,167
4813053,Bondiss,Summer village,Alberta,4813,,110,F,106,F,F,,3.8,195,157,F,24.2,56,56,F,0,1.23,89.3,4277,368
4812009,Bonnyville,Town,Alberta,4812,,5417,F,6216,F,F,,-12.9,2499,2482,F,0.7,2106,2324,F,-9.4,14.18,382,672,84
4812011,Bonnyville Beach,Summer village,Alberta,4812,,84,F,95,F,F,,-11.6,70,40,F,75,33,36,F,-8.3,0.17,497.3,4393,380
4812004,Bonnyville No. 87,Municipal district,Alberta,4812,,13575,F,11191,F,F,,21.3,5667,4349,F,30.3,4820,3951,F,22,6064.73,2.2,306,34
4807024,Botha,Village,Alberta,4807,,204,F,175,F,F,,16.6,81,74,F,9.5,80,71,F,12.7,1.1,186,3905,321
4801014,Bow Island,Town,Alberta,4801,,1983,F,2025,F,F,,-2.1,682,670,F,1.8,636,641,F,-0.8,5.81,341.6,1355,151
4808006,Bowden,Town,Alberta,4808,,1240,F,1241,F,F,,-0.1,581,545,F,6.6,524,518,F,1.2,2.8,442.8,1840,179
4817842,Boyer 164,Indian reserve,Alberta,4817,,218,F,213,F,F,,2.3,67,70,F,-4.3,63,59,F,6.8,41.57,5.2,3852,313
4813046,Boyle,Village,Alberta,4813,,845,F,916,F,F,,-7.8,464,479,F,-3.1,357,388,F,-8,7.13,118.5,2317,215
4811032,Brazeau County,Municipal district,Alberta,4811,,7771,F,7132,T,F,D,9,3194,2822,T,13.2,2930,2663,T,10,3005.35,2.6,507,62
4811026,Breton,Village,Alberta,4811,,574,F,496,F,F,,15.7,292,218,F,33.9,252,208,F,21.2,1.72,333.5,2796,248
4802034,Brooks,City,Alberta,4802,806,14451,F,13676,F,F,,5.7,5412,5509,F,-1.8,5046,5037,F,0.2,18.59,777.3,284,29
4810066,Bruderheim,Town,Alberta,4810,835,1308,F,1155,F,F,,13.2,622,487,T,27.7,502,445,T,12.8,7.12,183.8,1787,176
4809005,Burnstick Lake,Summer village,Alberta,4809,,0,F,16,F,F,,-100,0,34,F,-100,0,6,F,-100,0.18,0,4870,416
4817848,Bushe River 207,Indian reserve,Alberta,4817,,503,F,492,F,F,,2.2,142,140,F,1.4,134,133,F,0.8,114.72,4.4,2959,258
4806016,Calgary,City,Alberta,4806,825,1239220,F,1096833,F,F,,13,489650,445848,F,9.8,466725,423417,F,10.2,825.56,1501.1,3,1
4811019,Calmar,Town,Alberta,4811,835,2228,F,1970,F,F,,13.1,861,798,F,7.9,842,760,F,10.8,4.68,476.2,1255,140
4810011,Camrose,City,Alberta,4810,833,18742,F,17286,F,F,,8.4,8520,7945,F,7.2,8055,7460,F,8,42.62,439.8,233,24
4810001,Camrose County,Municipal district,Alberta,4810,,8458,F,8004,T,F,D,5.7,3492,3301,T,5.8,3118,2975,T,4.8,3324.21,2.5,466,52
4815023,Canmore,Town,Alberta,4815,828,13992,F,12288,F,F,,13.9,7963,7973,F,-0.1,5738,5176,F,10.9,69.43,201.5,295,30
4805042,Carbon,Village,Alberta,4805,,454,F,592,F,F,,-23.3,222,226,F,-1.8,199,208,F,-4.3,1.99,227.7,3079,264
4817854,Carcajou 187,Indian Settlement,Alberta,4817,,0,F,0,F,F,,,0,0,F,,0,0,F,,0.42,0,4870,416
4803004,Cardston,Town,Alberta,4803,,3585,F,3580,F,F,,0.1,1270,1322,F,-3.9,1175,1208,F,-2.7,8.59,417.5,901,108
4803001,Cardston County,Municipal district,Alberta,4803,,4481,F,4167,F,F,,7.5,1260,1171,F,7.6,1043,1032,F,1.1,3429.82,1.3,772,94
4805002,Carmangay,Village,Alberta,4805,,242,F,367,F,F,,-34.1,135,143,F,-5.6,121,120,F,0.8,1.86,129.8,3769,304
4809010,Caroline,Village,Alberta,4809,,512,F,501,F,F,,2.2,259,248,F,4.4,233,201,F,15.9,2.04,250.4,2939,257
4806029,Carstairs,Town,Alberta,4806,,4077,F,3442,F,F,,18.4,1590,1397,F,13.8,1544,1311,F,17.8,11.92,342.1,820,99
4813009,Castle Island,Summer village,Alberta,4813,,10,F,19,F,F,,-47.4,19,20,F,-5,7,11,F,-36.4,0.05,190.5,4749,410
4807014,Castor,Town,Alberta,4807,,929,F,932,F,F,,-0.3,448,456,F,-1.8,419,417,F,0.5,2.63,352.6,2193,208
4804016,Cereal,Village,Alberta,4804,,111,F,134,F,F,,-17.2,63,79,F,-20.3,59,71,F,-16.9,0.79,140.9,4268,367
4805004,Champion,Village,Alberta,4805,,317,F,378,F,F,,-16.1,185,177,F,4.5,164,159,F,3.1,0.89,356.5,3500,288
4807051,Chauvin,Village,Alberta,4807,,335,F,334,F,F,,0.3,156,151,F,3.3,145,144,F,0.7,2.24,149.2,3437,286
4806017,Chestermere,City,Alberta,4806,825,19887,F,14824,F,F,,34.2,6250,4858,F,28.7,6112,4635,F,31.9,32.94,603.8,217,21
4817843,Child Lake 164A,Indian reserve,Alberta,4817,,216,F,188,F,F,,14.9,62,59,F,5.1,62,55,F,12.7,27.41,7.9,3861,314
