ABMI.Site,Year,CSDNAME,CDNAME
1,"2,009",Wood Buffalo,Division No. 16
1,"2,015",Wood Buffalo,Division No. 16
1,"2,016",Wood Buffalo,Division No. 16
2,"2,009",Wood Buffalo,Division No. 16
2,"2,015",Wood Buffalo,Division No. 16
2,"2,016",Wood Buffalo,Division No. 16
3,"2,009",Wood Buffalo,Division No. 16
3,"2,015",Wood Buffalo,Division No. 16
3,"2,016",Wood Buffalo,Division No. 16
4,"2,012",Wood Buffalo,Division No. 16
5,"2,012",Wood Buffalo,Division No. 16
6,"2,012",Wood Buffalo,Division No. 16
7,"2,013",Wood Buffalo,Division No. 16
8,"2,013",Wood Buffalo,Division No. 16
13,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
13,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
13,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
14,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
14,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
14,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
15,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
15,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
15,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
16,"2,012",Wood Buffalo,Division No. 16
17,"2,012",Wood Buffalo,Division No. 16
18,"2,012",Wood Buffalo,Division No. 16
19,"2,013",Wood Buffalo,Division No. 16
20,"2,013",Wood Buffalo,Division No. 16
32,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
32,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
32,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
33,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
33,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
33,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
34,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
34,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
34,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
35,"2,012",Improvement District No. 24 Wood Buffalo,Division No. 16
36,"2,012",Wood Buffalo,Division No. 16
37,"2,012",Wood Buffalo,Division No. 16
38,"2,013",Wood Buffalo,Division No. 16
39,"2,013",Wood Buffalo,Division No. 16
40,"2,014",Mackenzie County,Division No. 17
41,"2,014",Mackenzie County,Division No. 17
54,"2,012",Improvement District No. 24 Wood Buffalo,Division No. 16
55,"2,012",Improvement District No. 24 Wood Buffalo,Division No. 16
56,"2,012",Improvement District No. 24 Wood Buffalo,Division No. 16
63,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
63,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
64,"2,011",Wood Buffalo,Division No. 16
64,"2,012",Wood Buffalo,Division No. 16
64,"2,016",Wood Buffalo,Division No. 16
65,"2,011",Wood Buffalo,Division No. 16
65,"2,016",Wood Buffalo,Division No. 16
66,"2,014",Wood Buffalo,Division No. 16
67,"2,014",Wood Buffalo,Division No. 16
68,"2,014",Mackenzie County,Division No. 17
69,"2,014",Mackenzie County,Division No. 17
82,"2,012",Improvement District No. 24 Wood Buffalo,Division No. 16
83,"2,012",Mackenzie County,Division No. 17
84,"2,012",Mackenzie County,Division No. 17
91,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
91,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
92,"2,011",Wood Buffalo,Division No. 16
92,"2,016",Wood Buffalo,Division No. 16
93,"2,011",Wood Buffalo,Division No. 16
93,"2,016",Wood Buffalo,Division No. 16
94,"2,014",Wood Buffalo,Division No. 16
95,"2,014",Wood Buffalo,Division No. 16
96,"2,014",Wood Buffalo,Division No. 16
97,"2,014",Mackenzie County,Division No. 17
98,"2,014",Mackenzie County,Division No. 17
111,"2,012",Mackenzie County,Division No. 17
112,"2,012",Mackenzie County,Division No. 17
113,"2,012",Mackenzie County,Division No. 17
120,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
121,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
121,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
122,"2,011",Wood Buffalo,Division No. 16
122,"2,016",Wood Buffalo,Division No. 16
123,"2,014",Wood Buffalo,Division No. 16
124,"2,014",Wood Buffalo,Division No. 16
125,"2,014",Wood Buffalo,Division No. 16
128,"2,014",Mackenzie County,Division No. 17
129,"2,014",Mackenzie County,Division No. 17
130,"2,014",Mackenzie County,Division No. 17
134,"2,012",Mackenzie County,Division No. 17
135,"2,012",Mackenzie County,Division No. 17
136,"2,012",Mackenzie County,Division No. 17
149,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
150,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
151,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
152,"2,012",Wood Buffalo,Division No. 16
153,"2,012",Wood Buffalo,Division No. 16
154,"2,012",Wood Buffalo,Division No. 16
157,"2,014",Mackenzie County,Division No. 17
158,"2,014",Mackenzie County,Division No. 17
159,"2,014",Mackenzie County,Division No. 17
163,"2,012",Mackenzie County,Division No. 17
164,"2,012",Mackenzie County,Division No. 17
165,"2,012",Mackenzie County,Division No. 17
178,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
179,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
180,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
181,"2,012",Wood Buffalo,Division No. 16
182,"2,012",Wood Buffalo,Division No. 16
183,"2,012",Wood Buffalo,Division No. 16
186,"2,014",Mackenzie County,Division No. 17
187,"2,014",Mackenzie County,Division No. 17
188,"2,014",Mackenzie County,Division No. 17
192,"2,012",Mackenzie County,Division No. 17
193,"2,012",Mackenzie County,Division No. 17
194,"2,012",Mackenzie County,Division No. 17
194,"2,013",Mackenzie County,Division No. 17
207,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
208,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
209,"2,010",Wood Buffalo,Division No. 16
210,"2,012",Wood Buffalo,Division No. 16
211,"2,012",Wood Buffalo,Division No. 16
212,"2,012",Wood Buffalo,Division No. 16
213,"2,013",Wood Buffalo,Division No. 16
216,"2,007",Mackenzie County,Division No. 17
217,"2,007",Mackenzie County,Division No. 17
218,"2,007",Mackenzie County,Division No. 17
225,"2,014",Mackenzie County,Division No. 17
226,"2,014",Mackenzie County,Division No. 17
227,"2,014",Mackenzie County,Division No. 17
231,"2,013",Mackenzie County,Division No. 17
232,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
233,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
234,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
234,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
235,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
235,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
236,"2,015",Improvement District No. 24 Wood Buffalo,Division No. 16
236,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
237,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
238,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
239,"2,013",Wood Buffalo,Division No. 16
240,"2,012",Wood Buffalo,Division No. 16
240,"2,016",Wood Buffalo,Division No. 16
241,"2,011",Wood Buffalo,Division No. 16
241,"2,012",Wood Buffalo,Division No. 16
241,"2,016",Wood Buffalo,Division No. 16
242,"2,011",Wood Buffalo,Division No. 16
242,"2,012",Wood Buffalo,Division No. 16
242,"2,016",Wood Buffalo,Division No. 16
243,"2,014",Wood Buffalo,Division No. 16
246,"2,007",Mackenzie County,Division No. 17
247,"2,007",Mackenzie County,Division No. 17
248,"2,007",Mackenzie County,Division No. 17
