Geo_name,Geo_type,Pop_2016,Pop_2011,Pop_percent_change,Total private dwellings 2016,Total private dwellings 2011,2011 adjusted total private dwellings flag,Total private dwellings_percent_change,Land area in square kilometres_2016,Population density per square kilometre_2016
Acadia No. 34,Municipal district,493,495,-0.4,184,161,F,14.3,1082.6,0.5
Acme,Village,653,653,0,301,295,F,2,2.48,263
Airdrie,City,61581,43271,42.3,22398,15871,T,41.1,84.57,728.2
Alberta Beach,Village,1018,865,17.7,743,747,F,-0.5,2.01,507.1
Alexander 134,Indian reserve,1099,1027,7,349,282,F,23.8,68.39,16.1
Alexis 133,Indian reserve,755,817,-7.6,209,204,F,2.5,57.36,13.2
Alix,Village,734,830,-11.6,385,388,F,-0.8,3.13,234.4
Alliance,Village,154,174,-11.5,107,103,F,3.9,0.51,299.3
Allison Bay 219,Indian reserve,127,84,51.2,46,37,F,24.3,19.23,6.6
Amisk,Village,204,207,-1.4,103,95,F,8.4,0.76,268.3
Andrew,Village,425,379,12.1,266,254,F,4.7,1.17,363.4
Argentia Beach,Summer village,27,15,80,100,115,F,-13,0.73,37.1
Arrowwood,Village,207,188,10.1,79,74,F,6.8,0.75,276.1
Athabasca,Town,2965,2990,-0.8,1313,1283,F,2.3,17.65,168
Athabasca County,Municipal district,7869,7662,2.7,4093,3835,F,6.7,6124.43,1.3
Banff,Town,7851,7584,3.5,2729,2850,F,-4.2,4.77,1646
Barnwell,Village,947,771,22.8,266,217,F,22.6,1.51,625.6
Barons,Village,341,315,8.3,148,139,F,6.5,0.81,419.5
Barrhead,Town,4579,4432,3.3,2009,1932,F,4,8.17,560.4
Barrhead County No. 11,Municipal district,6288,6096,3.1,2830,2718,F,4.1,2406.25,2.6
Bashaw,Town,830,873,-4.9,418,431,F,-3,2.99,277.8
Bassano,Town,1206,1282,-5.9,556,585,F,-5,5.22,231.2
Bawlf,Village,422,403,4.7,175,171,F,2.3,0.89,473.3
Beaumont,Town,17396,13284,31,5980,4566,F,31,10.47,1661.1
Beaver County,Municipal district,5905,5689,3.8,2381,2324,F,2.5,3317.57,1.8
Beaver Lake 131,Indian reserve,414,423,-2.1,115,114,F,0.9,57.19,7.2
Beaver Ranch 163,Indian reserve,10,16,-37.5,7,8,F,-12.5,9.22,1.1
Beaverlodge,Town,2465,2365,4.2,1024,981,F,4.4,5.73,430.5
Beiseker,Village,819,785,4.3,338,338,F,0,2.85,287.1
Bentley,Town,1078,1073,0.5,463,469,F,-1.3,2.24,482.2
Berwyn,Village,538,526,2.3,255,252,F,1.2,1.58,341.2
Betula Beach,Summer village,16,10,60,40,40,F,0,0.25,65
Big Horn 144A,Indian reserve,237,134,76.9,59,45,F,31.1,22.28,10.6
Big Lakes County,Municipal district,5672,5912,-4.1,2728,2710,F,0.7,13942.43,0.4
Big Valley,Village,346,364,-4.9,189,187,F,1.1,1.86,186.4
Bighorn No. 8,Municipal district,1334,1341,-0.5,766,797,F,-3.9,2761.18,0.5
Birch Cove,Summer village,45,45,0,74,60,F,23.3,0.3,148.7
Birch Hills County,Municipal district,1553,1582,-1.8,616,596,F,3.4,2859.6,0.5
Birchcliff,Summer village,117,112,4.5,98,79,F,24.1,1.03,113.4
Bittern Lake,Village,220,224,-1.8,88,85,F,3.5,6.57,33.5
Black Diamond,Town,2700,2373,13.8,1108,1001,F,10.7,3.84,702.7
Blackfalds,Town,9328,6300,48.1,3552,2458,F,44.5,16.44,567.3
Blood 148,Indian reserve,4570,4679,-2.3,1436,1179,F,21.8,1414.31,3.2
Blood 148A,Indian reserve,0,0,,0,0,F,,18.43,0
Bon Accord,Town,1529,1488,2.8,578,569,F,1.6,2.13,718.7
Bondiss,Summer village,110,106,3.8,195,157,F,24.2,1.23,89.3
Bonnyville,Town,5417,6216,-12.9,2499,2482,F,0.7,14.18,382
Bonnyville Beach,Summer village,84,95,-11.6,70,40,F,75,0.17,497.3
Bonnyville No. 87,Municipal district,13575,11191,21.3,5667,4349,F,30.3,6064.73,2.2
Botha,Village,204,175,16.6,81,74,F,9.5,1.1,186
Bow Island,Town,1983,2025,-2.1,682,670,F,1.8,5.81,341.6
Bowden,Town,1240,1241,-0.1,581,545,F,6.6,2.8,442.8
Boyer 164,Indian reserve,218,213,2.3,67,70,F,-4.3,41.57,5.2
Boyle,Village,845,916,-7.8,464,479,F,-3.1,7.13,118.5
Brazeau County,Municipal district,7771,7132,9,3194,2822,T,13.2,3005.35,2.6
Breton,Village,574,496,15.7,292,218,F,33.9,1.72,333.5
Brooks,City,14451,13676,5.7,5412,5509,F,-1.8,18.59,777.3
Bruderheim,Town,1308,1155,13.2,622,487,T,27.7,7.12,183.8
Burnstick Lake,Summer village,0,16,-100,0,34,F,-100,0.18,0
Bushe River 207,Indian reserve,503,492,2.2,142,140,F,1.4,114.72,4.4
Calgary,City,1239220,1096833,13,489650,445848,F,9.8,825.56,1501.1
Calmar,Town,2228,1970,13.1,861,798,F,7.9,4.68,476.2
Camrose,City,18742,17286,8.4,8520,7945,F,7.2,42.62,439.8
Camrose County,Municipal district,8458,8004,5.7,3492,3301,T,5.8,3324.21,2.5
Canmore,Town,13992,12288,13.9,7963,7973,F,-0.1,69.43,201.5
Carbon,Village,454,592,-23.3,222,226,F,-1.8,1.99,227.7
Carcajou 187,Indian Settlement,0,0,,0,0,F,,0.42,0
Cardston,Town,3585,3580,0.1,1270,1322,F,-3.9,8.59,417.5
Cardston County,Municipal district,4481,4167,7.5,1260,1171,F,7.6,3429.82,1.3
Carmangay,Village,242,367,-34.1,135,143,F,-5.6,1.86,129.8
Caroline,Village,512,501,2.2,259,248,F,4.4,2.04,250.4
Carstairs,Town,4077,3442,18.4,1590,1397,F,13.8,11.92,342.1
Castle Island,Summer village,10,19,-47.4,19,20,F,-5,0.05,190.5
Castor,Town,929,932,-0.3,448,456,F,-1.8,2.63,352.6
Cereal,Village,111,134,-17.2,63,79,F,-20.3,0.79,140.9
Champion,Village,317,378,-16.1,185,177,F,4.5,0.89,356.5
Chauvin,Village,335,334,0.3,156,151,F,3.3,2.24,149.2
Chestermere,City,19887,14824,34.2,6250,4858,F,28.7,32.94,603.8
Child Lake 164A,Indian reserve,216,188,14.9,62,59,F,5.1,27.41,7.9
Chipewyan 201A,Indian reserve,0,5,-100,0,1,F,-100,0.3,0
Chipman,Village,274,284,-3.5,145,144,F,0.7,9.61,28.5
Claresholm,Town,3780,3758,0.6,1742,1756,F,-0.8,8.11,465.9
Clear Hills,Municipal district,3023,2801,7.9,1062,938,F,13.2,15125.49,0.2
Clear Hills 152C,Indian reserve,0,0,,5,3,F,66.7,14.39,0
Clearwater County,Municipal district,11947,12278,-2.7,5486,5358,F,2.4,18682.45,0.6
Clive,Village,715,675,5.9,306,299,F,2.3,2.17,328.8
Clyde,Village,430,503,-14.5,198,211,F,-6.2,1.31,327.7
Coaldale,Town,8215,7493,9.6,3070,2844,F,7.9,7.99,1028.5
